time_period,measure,sex,obs_value,ingested_on,last_obs_value,change_obs_value
2023-08-01,part-time,female,2869.64346666,2023-10-01,NA,0
2023-08-01,part-time,all,4258.08094545,2023-10-01,NA,0
2023-08-01,full-time,female,3825.47611992,2023-10-01,NA,0
2023-08-01,full-time,male,6024.33841289,2023-10-01,NA,0
2023-08-01,full-time,all,9849.81453281,2023-10-01,NA,0
2023-08-01,part-time,male,1388.43747878,2023-10-01,NA,0
2023-07-01,part-time,female,2821.57446715,2023-10-01,2869.64346666,-48.068999509999685
2023-07-01,part-time,all,4196.00417321,2023-10-01,4258.08094545,-62.07677224000054
2023-07-01,full-time,female,3843.53955283,2023-10-01,3825.47611992,18.063432909999847
2023-07-01,full-time,male,6003.49614678,2023-10-01,6024.33841289,-20.8422661099994
2023-07-01,full-time,all,9847.0356996,2023-10-01,9849.81453281,-2.778833210000812
2023-07-01,part-time,male,1374.42970606,2023-10-01,1388.43747878,-14.007772720000048
2023-06-01,part-time,female,2813.23525747,2023-10-01,2821.57446715,-8.339209680000295
2023-06-01,part-time,all,4178.72494466,2023-10-01,4196.00417321,-17.27922854999997
2023-06-01,full-time,female,3864.8773284,2023-10-01,3843.53955283,21.33777556999985
2023-06-01,full-time,male,6000.83635046,2023-10-01,6003.49614678,-2.6597963200001686
2023-06-01,full-time,all,9865.71367885,2023-10-01,9847.0356996,18.677979250000135
2023-06-01,part-time,male,1365.48968718,2023-10-01,1374.42970606,-8.940018880000025
2023-05-01,part-time,female,2816.83722264,2023-10-01,2813.23525747,3.6019651700003124
2023-05-01,part-time,all,4184.60476617,2023-10-01,4178.72494466,5.879821510000511
2023-05-01,full-time,female,3861.06499365,2023-10-01,3864.8773284,-3.812334749999991
2023-05-01,full-time,male,5971.284699,2023-10-01,6000.83635046,-29.551651460000357
2023-05-01,full-time,all,9832.34969265,2023-10-01,9865.71367885,-33.3639862
2023-05-01,part-time,male,1367.76754354,2023-10-01,1365.48968718,2.277856359999987
2023-04-01,part-time,female,2809.9000804,2023-10-01,2816.83722264,-6.937142239999957
2023-04-01,part-time,all,4170.13869056,2023-10-01,4184.60476617,-14.466075610000189
2023-04-01,full-time,female,3843.5790816,2023-10-01,3861.06499365,-17.485912050000024
2023-04-01,full-time,male,5928.80388012,2023-10-01,5971.284699,-42.48081887999979
2023-04-01,full-time,all,9772.38296172,2023-10-01,9832.34969265,-59.96673092999845
2023-04-01,part-time,male,1360.23861016,2023-10-01,1367.76754354,-7.5289333799998985
2023-03-01,part-time,female,2827.86704084,2023-10-01,2809.9000804,17.96696043999964
2023-03-01,part-time,all,4146.00868602,2023-10-01,4170.13869056,-24.1300045400003
2023-03-01,full-time,female,3823.27807608,2023-10-01,3843.5790816,-20.301005519999762
2023-03-01,full-time,male,5981.14579409,2023-10-01,5928.80388012,52.34191396999995
2023-03-01,full-time,all,9804.42387018,2023-10-01,9772.38296172,32.04090845999963
2023-03-01,part-time,male,1318.14164518,2023-10-01,1360.23861016,-42.09696497999994
2023-02-01,part-time,female,2813.24266927,2023-10-01,2827.86704084,-14.624371569999767
2023-02-01,part-time,all,4165.31896515,2023-10-01,4146.00868602,19.3102791299998
2023-02-01,full-time,female,3778.84113404,2023-10-01,3823.27807608,-44.436942040000304
2023-02-01,full-time,male,5937.07838894,2023-10-01,5981.14579409,-44.06740515000001
2023-02-01,full-time,all,9715.91952298,2023-10-01,9804.42387018,-88.50434719999976
2023-02-01,part-time,male,1352.07629587,2023-10-01,1318.14164518,33.9346506899999
2023-01-01,part-time,female,2813.57870287,2023-10-01,2813.24266927,0.3360336000000643
2023-01-01,part-time,all,4179.72890805,2023-10-01,4165.31896515,14.409942900000715
2023-01-01,full-time,female,3752.92037495,2023-10-01,3778.84113404,-25.920759089999592
2023-01-01,full-time,male,5889.57589653,2023-10-01,5937.07838894,-47.50249240999983
2023-01-01,full-time,all,9642.49627148,2023-10-01,9715.91952298,-73.42325150000033
2023-01-01,part-time,male,1366.15020518,2023-10-01,1352.07629587,14.07390931000009
2022-12-01,part-time,female,2816.71827237,2023-10-01,2813.57870287,3.139569499999652
2022-12-01,part-time,all,4142.18296629,2023-10-01,4179.72890805,-37.54594176000046
2022-12-01,full-time,female,3748.20362493,2023-10-01,3752.92037495,-4.7167500200002905
2022-12-01,full-time,male,5915.7100143,2023-10-01,5889.57589653,26.134117769999648
2022-12-01,full-time,all,9663.91363923,2023-10-01,9642.49627148,21.417367750000267
2022-12-01,part-time,male,1325.46469392,2023-10-01,1366.15020518,-40.68551126000011
2022-11-01,part-time,female,2833.49284336,2023-10-01,2816.71827237,16.77457099000003
2022-11-01,part-time,all,4179.32773688,2023-10-01,4142.18296629,37.14477059000001
2022-11-01,full-time,female,3734.32971712,2023-10-01,3748.20362493,-13.873907809999764
2022-11-01,full-time,male,5899.47373924,2023-10-01,5915.7100143,-16.23627505999957
2022-11-01,full-time,all,9633.80345636,2023-10-01,9663.91363923,-30.110182870001154
2022-11-01,part-time,male,1345.83489353,2023-10-01,1325.46469392,20.3701996100001
2022-10-01,part-time,female,2807.96983445,2023-10-01,2833.49284336,-25.523008910000044
2022-10-01,part-time,all,4150.13564524,2023-10-01,4179.32773688,-29.1920916400004
2022-10-01,full-time,female,3722.85256874,2023-10-01,3734.32971712,-11.477148380000017
2022-10-01,full-time,male,5882.96100657,2023-10-01,5899.47373924,-16.512732670000332
2022-10-01,full-time,all,9605.81357531,2023-10-01,9633.80345636,-27.989881049999894
2022-10-01,part-time,male,1342.16581079,2023-10-01,1345.83489353,-3.6690827400000217
2022-09-01,part-time,female,2812.54182643,2023-10-01,2807.96983445,4.571991980000348
2022-09-01,part-time,all,4160.58441692,2023-10-01,4150.13564524,10.448771680000391
2022-09-01,full-time,female,3702.91187231,2023-10-01,3722.85256874,-19.940696430000116
2022-09-01,full-time,male,5858.77631926,2023-10-01,5882.96100657,-24.1846873100003
2022-09-01,full-time,all,9561.68819157,2023-10-01,9605.81357531,-44.12538373999996
2022-09-01,part-time,male,1348.04259049,2023-10-01,1342.16581079,5.876779700000043
2022-08-01,part-time,female,2832.37616239,2023-10-01,2812.54182643,19.834335959999862
2022-08-01,part-time,all,4165.41332681,2023-10-01,4160.58441692,4.828909890000432
2022-08-01,full-time,female,3683.63829946,2023-10-01,3702.91187231,-19.273572850000164
2022-08-01,full-time,male,5848.10882902,2023-10-01,5858.77631926,-10.667490240000006
2022-08-01,full-time,all,9531.74712848,2023-10-01,9561.68819157,-29.94106309000017
2022-08-01,part-time,male,1333.03716442,2023-10-01,1348.04259049,-15.005426070000112
2022-07-01,part-time,female,2864.86185016,2023-10-01,2832.37616239,32.48568776999991
2022-07-01,part-time,all,4198.12401407,2023-10-01,4165.41332681,32.71068725999976
2022-07-01,full-time,female,3636.60414517,2023-10-01,3683.63829946,-47.03415429000006
2022-07-01,full-time,male,5822.36681038,2023-10-01,5848.10882902,-25.742018639999515
2022-07-01,full-time,all,9458.97095555,2023-10-01,9531.74712848,-72.77617293000003
2022-07-01,part-time,male,1333.26216392,2023-10-01,1333.03716442,0.22499949999996716
2022-06-01,part-time,female,2840.12834169,2023-10-01,2864.86185016,-24.733508469999833
2022-06-01,part-time,all,4152.20079497,2023-10-01,4198.12401407,-45.9232191000001
2022-06-01,full-time,female,3649.12538559,2023-10-01,3636.60414517,12.52124042000014
2022-06-01,full-time,male,5838.22812335,2023-10-01,5822.36681038,15.861312969999744
2022-06-01,full-time,all,9487.35350894,2023-10-01,9458.97095555,28.382553389999885
2022-06-01,part-time,male,1312.07245328,2023-10-01,1333.26216392,-21.18971063999993
2022-05-01,part-time,female,2798.76833368,2023-10-01,2840.12834169,-41.36000801
2022-05-01,part-time,all,4107.0541555,2023-10-01,4152.20079497,-45.14663947000008
2022-05-01,full-time,female,3634.40580398,2023-10-01,3649.12538559,-14.71958160999975
2022-05-01,full-time,male,5809.22898038,2023-10-01,5838.22812335,-28.99914296999941
2022-05-01,full-time,all,9443.63478436,2023-10-01,9487.35350894,-43.718724579999616
2022-05-01,part-time,male,1308.28582182,2023-10-01,1312.07245328,-3.7866314600000806
2022-04-01,part-time,female,2829.13097866,2023-10-01,2798.76833368,30.362644979999914
