TIME_PERIOD,MEASURE,SEX,obsValue,INGESTED_ON
2019-01,M2,2,2743.97319374,2024-05-01
2019-02,M2,2,2739.048481,2024-05-01
2019-03,M2,2,2733.2183471500002,2024-05-01
2019-04,M2,2,2756.48071018,2024-05-01
2019-05,M2,2,2768.10687409,2024-05-01
2019-06,M2,2,2764.70641295,2024-05-01
2019-07,M2,2,2740.97938546,2024-05-01
2019-08,M2,2,2784.91721444,2024-05-01
2019-09,M2,2,2793.5391756,2024-05-01
2019-10,M2,2,2779.80619274,2024-05-01
2019-11,M2,2,2788.90092739,2024-05-01
2019-12,M2,2,2784.57671167,2024-05-01
2020-01,M2,2,2801.85765493,2024-05-01
2020-02,M2,2,2809.19135004,2024-05-01
2020-03,M2,2,2804.97815665,2024-05-01
2020-04,M2,2,2592.30646216,2024-05-01
2020-05,M2,2,2471.53578257,2024-05-01
2020-06,M2,2,2618.91119018,2024-05-01
2020-07,M2,2,2650.1689011,2024-05-01
2020-08,M2,2,2729.36826957,2024-05-01
2020-09,M2,2,2718.86573141,2024-05-01
2020-10,M2,2,2762.25521694,2024-05-01
2020-11,M2,2,2765.5905395,2024-05-01
2020-12,M2,2,2770.03018767,2024-05-01
2021-01,M2,2,2745.31348277,2024-05-01
2021-02,M2,2,2744.38918107,2024-05-01
2021-03,M2,2,2819.92386391,2024-05-01
2021-04,M2,2,2796.74924721,2024-05-01
2021-05,M2,2,2797.73570087,2024-05-01
2021-06,M2,2,2798.35290535,2024-05-01
2021-07,M2,2,2798.21507846,2024-05-01
2021-08,M2,2,2744.01240768,2024-05-01
2021-09,M2,2,2641.65817145,2024-05-01
2021-10,M2,2,2622.44417639,2024-05-01
2021-11,M2,2,2797.13861236,2024-05-01
2021-12,M2,2,2799.69524069,2024-05-01
2022-01,M2,2,2852.29429551,2024-05-01
2022-02,M2,2,2840.40159191,2024-05-01
2022-03,M2,2,2837.01399049,2024-05-01
2022-04,M2,2,2820.07757209,2024-05-01
2022-05,M2,2,2792.35388678,2024-05-01
2022-06,M2,2,2833.93547811,2024-05-01
2022-07,M2,2,2860.03956785,2024-05-01
2022-08,M2,2,2826.85412479,2024-05-01
2022-09,M2,2,2802.98647627,2024-05-01
2022-10,M2,2,2802.26557285,2024-05-01
2022-11,M2,2,2842.80829815,2024-05-01
2022-12,M2,2,2805.85377786,2024-05-01
2023-01,M2,2,2806.23447005,2024-05-01
2023-02,M2,2,2804.45400482,2024-05-01
2023-03,M2,2,2835.10532324,2024-05-01
2023-04,M2,2,2809.34531959,2024-05-01
